__unit__	deontic acceptability	deontic authority	dynamic necessity	dynamic possibility	epistemic
aequus	14.772151898734178	0.0	0.0	0.0	0.0
aptus	0.0	0.0	0.0	1.8523809523809525	0.0
certe	0.0	0.0	0.0	0.0	10.513513513513514
certus	0.0	0.0	0.0	0.0	10.513513513513514
debeo	4.7652102899142506	0.8066820276497696	3.091631603553062	0.029877112135176652	0.16957279860505667
decet	0.0	0.0	5.63768115942029	0.0	0.0
dubius	0.0	0.0	0.0	0.0	10.513513513513514
facultas	0.0	0.5557142857142857	0.0	1.728888888888889	0.0
forsitan	0.0	0.0	0.0	0.0	10.513513513513514
fortasse	0.0	0.0	0.0	0.0	10.513513513513514
forte	0.0	0.0	0.0	0.0	10.513513513513514
forte 	0.0	0.0	0.0	0.0	10.513513513513514
incertus	0.0	0.0	0.0	0.0	10.513513513513514
iniquus	14.772151898734178	0.0	0.0	0.0	0.0
licet	0.1969620253164557	6.668571428571428	0.0	0.3457777777777778	0.0
necessario	2.2726387536514117	0.0	3.903010033444816	0.14249084249084248	0.8087318087318087
necessarius	0.0	0.0	5.63768115942029	0.0	0.0
necesse sum	0.0	0.5557142857142857	5.073913043478261	0.0	0.3504504504504504
necessitas	7.386075949367089	0.0	2.818840579710145	0.0	0.0
oportet	2.850766155896069	1.0236842105263158	3.8573607932875666	0.0	0.0
opus sum	0.0	0.0	5.63768115942029	0.0	0.0
possum	0.24325399833244904	0.5490590248075278	0.02531892736266597	1.6416310236669518	0.2832982683282084
potestas	0.0	5.835	0.0	0.5557142857142857	0.0
probabiliter	0.0	0.0	0.0	0.0	10.513513513513514
queo	0.0	0.0	0.0	1.8523809523809525	0.0
