,M1_tot,M2_tot,M3_tot,M4_tot,M5_tot,M6_tot,M7_tot,all_corpus
aeque,41,12.0,,,,,,53.0
aequum sum,4,,,,,,,4.0
aequus,100,12.0,3.0,,,,,115.0
aptus,43,9.0,2.0,,,,,54.0
certe,151,20.0,3.0,1.0,,,,175.0
certus,302,44.0,9.0,1.0,,,,356.0
debeo,565,92.0,13.0,6.0,,,,676.0
decet,25,4.0,,,,,,29.0
dubie,2,,,,,,,2.0
dubius,62,13.0,3.0,1.0,1.0,,,80.0
facultas,93,20.0,3.0,,,,,116.0
forsitan,4,3.0,1.0,1.0,,,,9.0
fortasse,106,11.0,3.0,,,,,120.0
forte,77,4.0,,,,,,81.0
incertus,63,8.0,1.0,,,,,72.0
ineptus,1,,,,,,,1.0
iniquus,46,11.0,1.0,,,,,58.0
ius sum,9,,,,,,,9.0
licet,298,35.0,3.0,1.0,,,,337.0
meum sum,9,,,,,,,9.0
necessario,42,9.0,2.0,1.0,,,,54.0
necessarius,134,14.0,4.0,,,,,152.0
necesse sum,126,14.0,4.0,,,,,144.0
necessitas,62,4.0,3.0,,,,,69.0
necessitudo,90,9.0,,,,,,99.0
nequeo,6,,,,,,,6.0
oportet,443,45.0,1.0,1.0,,,,490.0
opus sum,128,15.0,6.0,,,,,149.0
possum,3056,430.0,64.0,9.0,,1.0,1.0,3561.0
potestas,177,37.0,7.0,,,,,221.0
probabiliter,1,1.0,,,,,,2.0
queo,15,,,,,,,15.0
usus sum,92,5.0,1.0,1.0,,,,99.0
valet,19,3.0,1.0,,,,,23.0
