M1,M2,M3,M4
certus,potestas,,
debeo,possum,,
possum,dubius,,
certe,potestas,,
possum,forsitan,,
possum,possum,,
possum,debeo,,
debeo,necessarius,,
certus,debeo,,
fortasse,possum,,
possum,possum,,
possum,possum,,
aequus,debeo,,
certe,aeque,,
certe,possum,,
certus,certus,,
possum,possum,,
possum,debeo,,
fortasse,possum,,
possum,possum,,
possum,certus,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,aptus,,
necessarius,debeo,,
possum,aptus,,
possum,possum,,
aequus,iniquus,,
certus,possum,,
aequus,possum,,
possum,necessarius,,
possum,possum,,
certus,dubius,,
possum,debeo,,
debeo,possum,,
possum,licet,,
possum,debeo,,
fortasse,necesse sum,,
debeo,debeo,,
possum,possum,,
debeo,possum,,
certus,possum,,
necesse sum,licet,,
forte,possum,,
opus sum,possum,,
possum,certe,,
debeo,potestas,,
debeo,possum,,
certus,incertus,,
debeo,debeo,,
possum,fortasse,,
certe,possum,,
possum,possum,,
debeo,necessitudo,,
possum,dubius,,
possum,possum,,
certus,potestas,,
potestas,oportet,,
licet,possum,,
necessitudo,debeo,,
forte,possum,,
fortasse,possum,,
possum,possum,,
certe,debeo,,
possum,possum,,
debeo,possum,,
debeo,possum,,
incertus,possum,,
debeo,possum,,
certe,necesse sum,,
possum,licet,,
certe,oportet,,
certus,necesse sum,,
dubius,forsitan,,
incertus,certus,,
possum,possum,,
debeo,debeo,,
fortasse,necesse sum,,
possum,possum,,
debeo,possum,,
possum,possum,,
necesse sum,possum,,
certus,certus,,
oportet,possum,,
debeo,debeo,,
possum,dubius,,
certus,possum,,
possum,opus sum,,
possum,possum,,
possum,licet,,
possum,possum,,
necessitudo,aequus,,
possum,possum,,
possum,certus,,
debeo,possum,,
licet,debeo,,
possum,possum,,
forte,certus,,
certus,incertus,,
possum,opus sum,,
possum,fortasse,,
fortasse,possum,,
necessarius,necesse sum,,
possum,fortasse,,
possum,possum,,
certus,possum,,
possum,possum,,
possum,certe,,
possum,debeo,,
licet,licet,,
fortasse,debeo,,
possum,certus,,
aeque,oportet,,
certus,certus,,
necessitudo,possum,,
necessitudo,possum,,
possum,necessitudo,,
certe,possum,,
facultas,possum,,
opus sum,facultas,,
certe,possum,,
necessitudo,debeo,,
possum,possum,,
certe,possum,,
possum,possum,,
forte,possum,,
necessarius,possum,,
necessarius,possum,,
necesse sum,possum,,
opus sum,possum,,
certus,possum,,
possum,certe,,
debeo,possum,,
possum,fortasse,,
oportet,possum,,
forte,dubius,,
possum,possum,,
licet,possum,,
debeo,possum,,
fortasse,certe,,
certe,possum,,
possum,potestas,,
possum,necessarius,,
possum,necesse sum,,
certus,possum,,
possum,certe,,
dubius,necessitudo,,
necessarius,necessarius,,
facultas,possum,,
potestas,possum,,
oportet,potestas,,
necessario,debeo,,
possum,possum,,
