,M1,M2,M3,M4,all_cooc,M1_tot,M2_tot,M3_tot,M4_tot,M5_tot,M6_tot,M7_tot,all_corpus,rel_freq
aeque,10.0,11.0,1.0,,22.0,41.0,12.0,,,,,,53.0,0.41509433962264153
aequus,16.0,12.0,3.0,1.0,32.0,100.0,12.0,3.0,,,,,115.0,0.2782608695652174
aptus,2.0,9.0,2.0,,13.0,43.0,9.0,2.0,,,,,54.0,0.24074074074074073
certe,28.0,19.0,3.0,1.0,51.0,151.0,20.0,3.0,1.0,,,,175.0,0.2914285714285714
certus,45.0,44.0,10.0,1.0,100.0,302.0,44.0,9.0,1.0,,,,356.0,0.2808988764044944
debeo,79.0,87.0,16.0,5.0,187.0,565.0,92.0,13.0,6.0,,,,676.0,0.27662721893491127
decet,2.0,4.0,,,6.0,25.0,4.0,,,,,,29.0,0.20689655172413793
dubie,1.0,,,,1.0,2.0,,,,,,,2.0,0.5
dubius,15.0,13.0,3.0,,31.0,62.0,13.0,3.0,1.0,1.0,,,80.0,0.3875
facultas,19.0,18.0,3.0,1.0,41.0,93.0,20.0,3.0,,,,,116.0,0.35344827586206895
forsitan,,3.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,,,,9.0,0.5555555555555556
fortasse,19.0,11.0,2.0,1.0,33.0,106.0,11.0,3.0,,,,,120.0,0.275
forte,15.0,4.0,,,19.0,77.0,4.0,,,,,,81.0,0.2345679012345679
incertus,13.0,7.0,1.0,,21.0,63.0,8.0,1.0,,,,,72.0,0.2916666666666667
iniquus,6.0,11.0,1.0,,18.0,46.0,11.0,1.0,,,,,58.0,0.3103448275862069
ius sum,1.0,,,,1.0,9.0,,,,,,,9.0,0.1111111111111111
licet,40.0,37.0,5.0,1.0,83.0,298.0,35.0,3.0,1.0,,,,337.0,0.24629080118694363
meum sum,1.0,,,,1.0,9.0,,,,,,,9.0,0.1111111111111111
necessario,10.0,8.0,1.0,1.0,20.0,42.0,9.0,2.0,1.0,,,,54.0,0.37037037037037035
necessarius,31.0,16.0,4.0,,51.0,134.0,14.0,4.0,,,,,152.0,0.3355263157894737
necesse habeo,,1.0,,,1.0,,,,,,,,,
necesse sum,18.0,14.0,5.0,1.0,38.0,126.0,14.0,4.0,,,,,144.0,0.2638888888888889
necessitas,10.0,4.0,2.0,1.0,17.0,62.0,4.0,3.0,,,,,69.0,0.2463768115942029
necessitudo,23.0,9.0,,,32.0,90.0,9.0,,,,,,99.0,0.32323232323232326
oportet,81.0,45.0,1.0,1.0,128.0,443.0,45.0,1.0,1.0,,,,490.0,0.2612244897959184
opus sum,17.0,14.0,6.0,1.0,38.0,128.0,15.0,6.0,,,,,149.0,0.2550335570469799
possum,336.0,423.0,68.0,10.0,837.0,3056.0,430.0,64.0,9.0,,1.0,1.0,3561.0,0.2350463352990733
potestas,21.0,36.0,8.0,,65.0,177.0,37.0,7.0,,,,,221.0,0.29411764705882354
probabiliter,2.0,,,,2.0,1.0,1.0,,,,,,2.0,1.0
queo,1.0,,,,1.0,15.0,,,,,,,15.0,0.06666666666666667
usus sum,5.0,5.0,1.0,1.0,12.0,92.0,5.0,1.0,1.0,,,,99.0,0.12121212121212122
valet,1.0,3.0,1.0,,5.0,19.0,3.0,1.0,,,,,23.0,0.21739130434782608
