,M1,M2,M3,M4,all_cooc
aequus,1.0,,,,1.0
aptus,,3.0,,,3.0
certe,22.0,11.0,,,33.0
certus,3.0,1.0,,,4.0
debeo,62.0,61.0,1.0,,124.0
decet,1.0,1.0,,,2.0
dubius,5.0,8.0,,,13.0
facultas,10.0,5.0,,,15.0
forsitan,1.0,1.0,,,2.0
fortasse,18.0,6.0,,,24.0
forte,10.0,1.0,,,11.0
incertus,,1.0,,,1.0
iniquus,,1.0,,,1.0
licet,41.0,32.0,2.0,,75.0
necessario,7.0,6.0,,,13.0
necessarius,3.0,2.0,,,5.0
necesse sum,12.0,18.0,,,30.0
necessitas,1.0,1.0,,,2.0
oportet,75.0,39.0,,,114.0
opus sum,8.0,6.0,,,14.0
possum,295.0,367.0,6.0,,668.0
potestas,2.0,8.0,,,10.0
probabiliter,1.0,,,,1.0
queo,1.0,,,,1.0
