Text,Words,,,,
Cicero pro milone,10301,,,,92933
Cicero pro marcello,2721,,,,
pro ligario,3198,,,,
pro deiotaro,3802,,,,
,,,,,
philippicae,51477,rhetoric/oratory,,,
Controversiae (seneca elder),66572,,separated from suasoriae,,93363
,118049,,,,
,,,,,
,,,,,
letters atticus,131885,letters,,,
letters familiares,122267,letters,,,
letters quintus,18951,letters,,,
letters brutus,9845,letters,,,
,,,,,
de re rustica,35534,treatise,,,
de architectura,57829,treatise,,,
rhetorica ad herennium,30052,treatise,,,
,123415,,,,
,,,,,
bello civile,32363,historiography,,,
bello gallico,51308,historiography,,,
bellum catilinae,10684,historiography,,NON ci sono anche orationes e epistulae: 4092 words,
bellum iugurthinum,21279,historiography,,,
bellum africanum,12998,,,,
bellum hispaniense,6065,,,,
,128632,,,,
